Symbol,Category,CategoryName,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap,Brand,인버스,레버리지,헤지
469060,4,해외주식,RISE 미국반도체NYSE,15230,2,170,1.13,15018.0,5.7658,26145,395,259,RISE,False,False,False
387270,4,해외주식,TIGER 글로벌이노베이션액티브,17245,5,-5,-0.03,17137.0,18.3939,27,0,259,TIGER,False,False,False
469050,4,해외주식,RISE 미국반도체NYSE(H),13980,2,160,1.16,13768.0,-1.4406,23320,324,259,RISE,False,False,True
448570,1,국내 시장지수,FOCUS AI코리아액티브,11720,3,0,0.0,11743.0,-4.8702,0,0,258,FOCUS,False,False,False
360140,2,국내 업종/테마,KODEX 200롱코스닥150숏선물,9195,5,-20,-0.22,9220.0,0.9309,1,0,257,KODEX,False,False,False
200030,4,해외주식,KODEX 미국S&P500산업재(합성),34250,5,-115,-0.33,34166.0,15.2607,452,15,257,KODEX,False,False,False
218420,4,해외주식,KODEX 미국S&P500에너지(합성),14870,5,-130,-0.87,14916.0,14.1987,304,4,256,KODEX,False,False,False
326230,2,국내 업종/테마,RISE 내수주플러스,8305,5,-5,-0.06,8306.0,-2.8639,1,0,254,RISE,False,False,False
487920,4,해외주식,ACE 인도시장대표BIG5그룹액티브,9710,5,-30,-0.31,9729.0,-3.9448,43,0,252,ACE,False,False,False
494840,4,해외주식,TIGER 미국방산TOP10,9495,2,10,0.11,9561.0,,1438,13,252,TIGER,False,False,False
419430,4,해외주식,KODEX 차이나2차전지MSCI(합성),6610,5,-75,-1.12,6803.0,33.0348,1203,7,251,KODEX,False,False,False
101280,4,해외주식,KODEX 일본TOPIX100,22330,5,-170,-0.76,22360.0,10.0352,747,16,250,KODEX,False,False,False
495940,4,해외주식,RISE 미국AI테크액티브,11080,2,60,0.54,10992.0,,2201,24,244,RISE,False,False,False
289480,3,국내파생,TIGER 200커버드콜,8085,5,-15,-0.19,8097.0,-0.5281,2488,20,243,TIGER,False,False,False
453640,4,해외주식,KODEX 미국S&P500헬스케어,12310,2,5,0.04,12285.0,-3.2246,5917,72,240,KODEX,False,False,False
471460,6,채권,히어로즈 국고채30년액티브,66630,3,0,0.0,66242.0,7.0808,0,0,240,히어로즈,False,False,False
453950,4,해외주식,TIGER TSMC파운드리밸류체인,15370,5,-80,-0.52,15383.0,7.1057,319,4,238,TIGER,False,False,False
138520,2,국내 업종/테마,TIGER 삼성그룹펀더멘털,10810,3,0,0.0,10821.0,-10.5429,3,0,238,TIGER,False,False,False
440910,4,해외주식,WON 미국우주항공방산,16360,5,-180,-1.09,16315.0,19.8116,2015,33,237,WON,False,False,False
496020,6,채권,WON 전단채플러스액티브,50260,2,5,0.01,50258.0,,3,0,237,WON,False,False,False
261120,7,기타,TIGER 미국달러선물인버스2X,5360,5,-25,-0.46,5380.0,-13.1452,3459,18,236,TIGER,True,False,False
277540,4,해외주식,ACE 아시아TOP50S&P,16840,2,10,0.06,16772.0,16.9562,3,0,236,ACE,False,False,False
237370,7,기타,KODEX 배당성장채권혼합,13035,3,0,0.0,13038.0,0.2692,599,7,235,KODEX,False,False,False
474590,2,국내 업종/테마,WON 반도체밸류체인액티브,8060,3,0,0.0,8096.0,-11.0866,0,0,234,WON,False,False,False
