Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
077360,덕산하이메탈,KOSDAQ,우량기업부,3395,1,200,6.26,3195,3415,3195,109692,366230110,154258621790,45437002,KSQ,반도체 제조업,솔더볼(Solderball),2005-10-14,12월,"이수훈, 김태수 (공동대표이사)",http://www.dshm.co.kr,울산광역시
010955,S-Oil우,KOSPI,,38350,1,1350,3.65,36950,39400,36950,9823,378350150,154240900450,4021927,STK,,,,,,,
086890,이수앱지스,KOSDAQ,기술성장기업부,4290,1,190,4.63,4130,4340,4040,44477,189164750,154020862710,35902299,KSQ,의료용품 및 기타 의약 관련제품 제조업,"항체치료제,효소치료제",2009-02-03,12월,황엽,http://www.abxis.com,경기도
121440,골프존뉴딘홀딩스,KOSDAQ,우량기업부,3595,1,125,3.6,3410,3625,3410,81178,291019655,153998360710,42836818,KSQ,상품 중개업,골프시뮬레이터,2011-05-20,12월,최덕형,http://golfzonnewdin.com,서울특별시
394800,쓰리빌리언,KOSDAQ,기술성장기업부,4895,1,180,3.82,4750,5090,4750,3122492,15404162175,153918566010,31444038,KSQ,의료용 기기 제조업,유전체 분석 기반 희귀 유전질환 진단 검사 서비스,2024-11-14,12월,금창원,,서울특별시
036220,오상헬스케어,KOSDAQ,벤처기업부,10620,1,730,7.38,9720,10620,9720,27963,287086230,153877597920,14489416,KSQ,의료용품 및 기타 의약 관련제품 제조업,"생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등",2024-03-13,12월,강철훈,http://www.osanghc.com,경기도
004250,NPC,KOSPI,,4180,1,135,3.34,3845,4190,3845,45051,182295660,153489600000,36720000,STK,플라스틱제품 제조업,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",1969-09-08,12월,"최병민,나창엽,최석기(각자 대표이사)",http://www.npc.co.kr,경기도
209640,와이제이링크,KOSDAQ,벤처기업부,10750,1,620,6.12,10400,10920,10310,353319,3772139810,152881909750,14221573,KSQ,특수 목적용 기계 제조업,SMT(PCB 표면실장) 이송 및 추적장비 등 스마트 공정장비,2024-10-18,12월,박순일,http://www.yjlink.com,대구광역시
200350,아티스트스튜디오,KOSDAQ,기술성장기업부,15260,1,3340,28.02,12790,15440,12770,2542422,37021185090,152539341500,9996025,KSQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 제작,2021-12-30,12월,이태성,http://reamongraein.co.kr,서울특별시
441270,파인엠텍,KOSDAQ,중견기업부,4120,1,285,7.43,3835,4190,3835,353487,1438657005,152390152120,36987901,KSQ,전자부품 제조업,IT부품,2022-10-07,12월,이재규,http://www.finemtec.com,경기도
